truck,truck_model,truck_mileage,truck_year,trim,cab,camper,camper_model,camper_flatbed,camper_year,camper_year_imputed,sale,asking,platform,Note
0,none,0,0,none,none,1,swift,0,2021,0,0,25000,main_line_overland,
0,none,0,0,none,none,1,hawk,0,2022,0,0,22000,main_line_overland,
0,none,0,0,none,none,1,fleet,0,2023,0,0,35000,main_line_overland,
0,none,0,0,none,none,1,fleet,0,2013,0,0,25000,main_line_overland,
0,none,0,0,none,none,1,grandby,0,2023,0,0,43000,main_line_overland,
1,tacoma,37683,2020,trd_sport_access,super,1,fleet,1,2020,0,0,115000,main_line_overland,
1,tacoma,37683,2020,trd_sport_access,super,0,none,0,0,0,0,31946,bluebook,
1,tacoma,37683,2020,trd_sport_access,super,0,none,0,0,0,0,33555,bluebook,
1,tacoma,37683,2020,trd_sport_access,super,0,none,0,0,0,0,35163,bluebook,
0,none,0,0,none,none,1,project_m,0,2023,0,0,13000,main_line_overland,
0,none,0,0,none,none,1,fleet,0,2023,0,0,26000,main_line_overland,
0,none,0,0,none,none,1,swift,0,2022,1,0,28000,main_line_overland,camper year missing and I used ocular imputation...
0,none,0,0,none,none,1,project_m,0,2020,0,0,18000,main_line_overland,
0,none,0,0,none,none,1,project_m,0,2022,0,0,11000,main_line_overland,
0,none,0,0,none,none,1,fleet,1,2023,0,0,22000,main_line_overland,
0,none,0,0,none,none,1,project_m,0,2022,0,0,12000,main_line_overland,
0,none,0,0,none,none,1,hawk,0,2021,0,0,15000,main_line_overland,
0,none,0,0,none,none,1,hawk,0,2020,0,1,195000,main_line_overland,price reduced from 23000!
0,none,0,0,none,none,1,fleet,0,2020,0,0,22500,main_line_overland,
0,none,0,0,none,none,1,fleet,0,2020,0,1,19000,main_line_overland,reduced from 23000
1,f250,53650,2020,xl_stx,crew,1,hawk,1,2020,0,0,125000,main_line_overland,
1,f250,53650,2020,xl_stx,crew,0,none,0,0,0,0,31161,bluebook,
1,f250,53650,2020,xl_stx,crew,0,none,0,0,0,0,33438,bluebook,
1,f250,53650,2020,xl_stx,crew,0,none,0,0,0,0,35714,bluebook,
0,none,0,0,none,none,1,hawk,0,2021,0,0,26000,main_line_overland,
0,none,0,0,none,none,1,raven,0,2023,0,0,24000,main_line_overland,
0,none,0,0,none,none,1,fleet,0,2018,0,0,27000,main_line_overland,
0,none,0,0,none,none,1,hawk,0,2020,0,1,30000,facebook,
1,tundra,160000,2014,sr5,crew,1,fleet,0,2019,0,1,37000,facebook,reduced from 42000
1,tundra,160000,2014,sr5,crew,0,none,0,0,0,0,16568,bluebook,
1,tundra,160000,2014,sr5,crew,0,none,0,0,0,0,18657,bluebook,
